"filename", "language", "PostCSS", "TypeScript", "HTML", "JSON", "comment", "blank", "total"
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\login\login.component.ts", "TypeScript", 0, 41, 0, 0, 0, 6, 47
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\navbar\navbar.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\navbar\navbar.component.html", "HTML", 0, 0, 110, 0, 1, 3, 114
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\navbar\navbar.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 6, 26
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\navbar\navbar.component.ts", "TypeScript", 0, 30, 0, 0, 0, 6, 36
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\register\register.component.css", "PostCSS", 3, 0, 0, 0, 0, 0, 3
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\register\register.component.html", "HTML", 0, 0, 100, 0, 3, 5, 108
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\register\register.component.spec.ts", "TypeScript", 0, 20, 0, 0, 0, 6, 26
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\landing-page-components\register\register.component.ts", "TypeScript", 0, 53, 0, 0, 0, 7, 60
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\page-not-found\page-not-found.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\page-not-found\page-not-found.component.html", "HTML", 0, 0, 15, 0, 0, 2, 17
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\page-not-found\page-not-found.component.ts", "TypeScript", 0, 11, 0, 0, 0, 5, 16
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\vacancies\vacancy-list-item\vacancy-list-item.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\vacancies\vacancy-list-item\vacancy-list-item.component.html", "HTML", 0, 0, 40, 0, 0, 2, 42
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\vacancies\vacancy-list-item\vacancy-list-item.component.ts", "TypeScript", 0, 13, 0, 0, 0, 5, 18
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\vacancies\vacancy-list\vacancy-list.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\vacancies\vacancy-list\vacancy-list.component.html", "HTML", 0, 0, 156, 0, 3, 6, 165
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\vacancies\vacancy-list\vacancy-list.component.ts", "TypeScript", 0, 145, 0, 0, 1, 10, 156
"Total", "-", 43, 2161, 1726, 10306, 81, 312, 14629
